Antibiotic,Resistance Rate,Organism,Interface
dicloxacillin,1.0,S.aureus,Animal
ampicillin/sulbactam,1.0,S.aureus,Animal
tiamulin,1.0,S.aureus,Animal
streptomycin,1.0,S.aureus,Animal
ampicillin,1.0,S.aureus,Animal
penicillin,0.7538314176245211,S.aureus,Animal
moxifloxacin,0.75,S.aureus,Animal
methicillin,0.5727611940298507,S.aureus,Animal
cefoxitin,0.5425531914893617,S.aureus,Animal
amoxicillin/clavulanic acid,0.5,S.aureus,Animal
florfenicol,0.5,S.aureus,Animal
kanamycin,0.5,S.aureus,Animal
ceftriaxone,0.5,S.aureus,Animal
cefazolin,0.5,S.aureus,Animal
erythromycin,0.44376634699215345,S.aureus,Animal
oxacillin,0.43902439024390244,S.aureus,Animal
tobramycin,0.4,S.aureus,Animal
daptomycin,0.32432432432432434,S.aureus,Animal
clindamycin,0.3072128227960819,S.aureus,Animal
ciprofloxacin,0.27208480565371024,S.aureus,Animal
ceftarolin,0.2,S.aureus,Animal
gentamicin,0.19578059071729959,S.aureus,Animal
fusidic acid,0.14606741573033707,S.aureus,Animal
tetracycline,0.14335971855760773,S.aureus,Animal
tigecycline,0.1111111111111111,S.aureus,Animal
chloramphenicol,0.10204081632653061,S.aureus,Animal
trimethoprim/sulfamethoxazole,0.096579476861167,S.aureus,Animal
levofloxacin,0.09375,S.aureus,Animal
mupirocin,0.038834951456310676,S.aureus,Animal
vancomycin,0.03361344537815126,S.aureus,Animal
rifampin,0.02,S.aureus,Animal
carbenicillin,0.0,S.aureus,Animal
teicoplanin,0.0,S.aureus,Animal
phosphomycin,0.0,S.aureus,Animal
azithromycin,0.0,S.aureus,Animal
ceftaroline,0.0,S.aureus,Animal
linezolid,0.0,S.aureus,Animal
trimethoprim,0.0,S.aureus,Animal
fosfomycin,0.0,S.aureus,Animal
neomycin,0.0,S.aureus,Animal
