Antibiotic,Degree Centrality,Betweenness Centrality,Closeness Centrality
ciprofloxacin,0.75,0.16434837092731827,0.7714285714285714
gentamicin,0.75,0.10645363408521302,0.7714285714285714
ceftriaxone,0.65,0.07548872180451127,0.7043478260869566
levofloxacin,0.65,0.11697994987468671,0.7043478260869566
ceftazidime,0.6000000000000001,0.034348370927318295,0.648
trimethoprim/sulfamethoxazole,0.55,0.018822055137844608,0.648
tobramycin,0.45,0.005614035087719298,0.5785714285714286
amikacin,0.35000000000000003,0.0017543859649122805,0.54
aztreonam,0.35000000000000003,0.0,0.54
tetracycline,0.35000000000000003,0.0017543859649122805,0.5586206896551724
ampicillin,0.35000000000000003,0.08947368421052632,0.5586206896551724
meropenem,0.30000000000000004,0.0007518796992481202,0.5225806451612903
imipenem,0.30000000000000004,0.0,0.5225806451612903
ampicillin/sulbactam,0.15000000000000002,0.0,0.45
cefazolin,0.15000000000000002,0.0,0.4628571428571428
nitrofurantoin,0.15000000000000002,0.0,0.4628571428571428
chloramphenicol,0.05,0.0,0.3521739130434783
cefepime,0.05,0.0,0.405
cefoxitin,0.05,0.0,0.4263157894736842
erythromycin,0.05,0.0,0.05
penicillin,0.05,0.0,0.05
